Date,Open,High,Low,Close,Adj Close,Volume
2012-03-27,86.597145,88.040001,86.580002,87.782860,77.798058,151782400
2012-03-28,88.339996,88.778572,87.187141,88.231430,78.195625,163865100
2012-03-29,87.540001,88.080002,86.747147,87.122856,77.213120,152059600
2012-03-30,86.967140,87.222855,85.419998,85.650002,75.907799,182759500
2012-04-02,85.975716,88.395714,85.768570,88.375717,78.323486,149587900
2012-04-03,89.614288,90.315712,88.930000,89.902855,79.676918,208639900
2012-04-04,89.192856,89.408569,88.142860,89.187141,79.042618,143245200
2012-04-05,89.568573,90.665718,89.057144,90.525711,80.228951,160324500
2012-04-09,89.447144,91.405716,89.328575,90.889999,80.551804,149384200
2012-04-10,91.418571,92.000000,89.428574,89.777145,79.565521,222431300
2012-04-11,90.885712,90.981430,89.048569,89.457146,79.281914,174153700
2012-04-12,89.285713,90.190002,88.642860,88.967140,78.847641,153584200
2012-04-13,89.158569,89.242859,86.215714,86.461426,76.626945,214911200
2012-04-16,87.151428,87.182854,82.607140,82.875717,73.449066,262696700
2012-04-17,82.705711,87.142860,81.701431,87.099998,77.192879,256382000
2012-04-18,87.674286,88.607140,86.101425,86.905716,77.020691,238632800
2012-04-19,85.745712,86.389999,83.502853,83.919998,74.374580,208679800
2012-04-20,84.482857,84.945717,81.488571,81.854286,72.543831,257746300
2012-04-23,81.515717,82.381432,79.517143,81.671425,72.381760,241632300
2012-04-24,80.372856,81.098572,79.285713,80.040001,70.935913,269037300
2012-04-25,87.948570,88.285713,86.571426,87.142860,77.230858,226444400
2012-04-26,87.752853,87.812859,86.018570,86.814285,76.939667,134017100
2012-04-27,86.438568,86.597145,85.785713,86.142860,76.344620,101680600
2012-04-30,85.400002,85.485718,83.285713,83.425713,73.936523,126536200
2012-05-01,83.557144,85.251427,83.032860,83.161430,73.702301,152749800
2012-05-02,82.891426,83.914284,82.694283,83.711426,74.189728,106847300
2012-05-03,84.357140,84.485718,82.900002,83.117142,73.663048,97637400
2012-05-04,82.440002,82.622856,80.738571,80.750000,71.565163,132498100
2012-05-07,80.214287,81.824287,80.175713,81.354286,72.100716,115029600
2012-05-08,81.368568,81.642860,79.818573,81.168571,71.936104,124313000
2012-05-09,80.528572,81.997147,80.121429,81.311432,72.062744,120176000
2012-05-10,82.082855,82.268570,81.205711,81.502853,72.232353,83300000
2012-05-11,80.714287,82.067146,80.621429,80.958572,71.750015,99886500
2012-05-14,80.367142,81.072861,79.657143,79.745712,70.675102,88156600
2012-05-15,80.207146,80.459999,78.821426,79.024284,70.035713,119084000
2012-05-16,79.150002,79.555717,77.291428,78.011429,69.138092,140224000
2012-05-17,77.901428,78.214287,75.731430,75.731430,67.117401,179305000
2012-05-18,76.279999,77.629997,74.597145,75.768570,67.150352,183073100
2012-05-21,76.357140,80.220001,76.292854,80.182854,71.062523,157776500
2012-05-22,81.364288,81.982857,78.940002,79.567146,70.516838,173717600
2012-05-23,79.642860,81.828575,79.032860,81.508568,72.237450,146224400
2012-05-24,82.267143,82.357140,80.175713,80.760002,71.574028,124057500
2012-05-25,80.655716,80.835716,79.781425,80.327141,71.190392,82126800
2012-05-29,81.557144,82.000000,80.758568,81.752853,72.453949,95127200
2012-05-30,81.314285,82.855713,80.937141,82.738571,73.327530,132357400
2012-05-31,82.962860,83.071426,81.637146,82.532860,73.145210,122918600
2012-06-01,81.308571,81.807144,80.074287,80.141426,71.025803,130246900
2012-06-04,80.214287,81.071426,78.357140,80.612854,71.443611,139248900
2012-06-05,80.181427,80.924286,79.761429,80.404289,71.258743,97053600
2012-06-06,81.110001,81.978569,80.785713,81.637146,72.351395,100363900
2012-06-07,82.470001,82.474289,81.500000,81.674286,72.384315,94941700
2012-06-08,81.657143,82.940002,81.285713,82.902855,73.473129,86879100
2012-06-11,83.959999,84.071426,81.518570,81.595711,72.314651,147816200
2012-06-12,82.065712,82.374283,80.957146,82.308571,72.946442,108845100
2012-06-13,82.074287,82.639999,81.482857,81.737144,72.440018,73395000
2012-06-14,81.605713,81.928574,81.037140,81.647141,72.360237,86393300
2012-06-15,81.571426,82.088570,81.364288,82.018570,72.689438,83813800
2012-06-18,81.565712,83.984283,81.481430,83.682854,74.164413,110103000
2012-06-19,83.342857,84.285713,83.300003,83.915718,74.370796,90351100
2012-06-20,84.029999,84.178574,82.971428,83.677139,74.159355,89735800
2012-06-21,83.634285,84.031425,82.491432,82.524284,73.137634,81587800
2012-06-22,82.720001,83.169998,82.202858,83.157143,73.698509,71117900
2012-06-25,82.471428,82.828575,81.481430,81.538574,72.264030,76095600
2012-06-26,81.618568,82.070000,81.047142,81.718575,72.423553,69134100
2012-06-27,82.142860,82.391426,81.702858,82.071426,72.736298,50749300
2012-06-28,81.667145,82.000000,80.801430,81.292854,72.046265,70709100
2012-06-29,82.571426,83.428574,82.035713,83.428574,73.939056,105375200
2012-07-02,83.532860,84.781425,83.371429,84.645714,75.017761,100023000
2012-07-03,84.982857,85.714287,84.857140,85.629997,75.890083,60428200
2012-07-05,85.794289,87.762856,85.664284,87.134285,77.223282,121095800
2012-07-06,86.727142,86.919998,85.940002,86.554283,76.709236,104732600
2012-07-09,86.471428,87.699997,86.301430,87.698570,77.723373,94851400
2012-07-10,88.281425,88.552856,86.472855,86.887146,77.004257,127989400
